Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7308 - Election Day	3	3	2	2	2	1	3	2	2	1	2	1	2	2	105	5	0	0	27	28	0
Precinct 7308	11	6	8	3	7	4	9	6	6	9	7	4	10	9	625	24	0	0	165	99	0
Precinct 7309 - Vote By Mail	10	5	6	4	9	8	7	11	5	16	7	10	14	6	691	31	0	0	223	118	0
Precinct 7309 - Election Day	3	3	4	3	3	3	2	2	1	5	2	3	4	2	167	7	0	0	37	40	0
Precinct 7309	13	8	10	7	12	11	9	13	6	21	9	13	18	8	858	38	0	0	260	158	0
Precinct 7311 - Vote By Mail	7	6	5	5	4	4	5	1	1	7	4	4	5	5	698	16	0	0	113	63	0
Precinct 7311 - Election Day	0	0	0	0	2	0	0	0	2	0	0	0	1	0	208	3	0	0	28	5	0
Precinct 7311	7	6	5	5	6	4	5	1	3	7	4	4	6	5	906	19	0	0	141	68	0
Precinct 7312 - Vote By Mail	20	12	12	11	12	11	13	7	5	19	15	11	18	14	700	45	0	0	315	180	0
Precinct 7312 - Election Day	7	2	5	3	7	4	5	3	3	5	5	4	7	4	110	13	0	0	79	64	0
Precinct 7312	27	14	17	14	19	15	18	10	8	24	20	15	25	18	810	58	0	0	394	244	0
Precinct 7313 - Vote By Mail	22	14	15	11	22	12	18	17	11	19	16	19	16	19	819	41	0	0	220	231	0
Precinct 7313 - Election Day	1	1	0	0	1	0	0	1	1	1	0	1	1	0	184	2	0	0	14	8	0
Precinct 7313	23	15	15	11	23	12	18	18	12	20	16	20	17	19	1,003	43	0	0	234	239	0
Precinct 7314 - Vote By Mail	4	2	2	1	2	1	2	0	1	3	1	1	3	2	612	7	0	0	52	25	0
Precinct 7314 - Election Day	2	0	0	1	2	0	1	0	0	1	2	1	0	1	147	6	0	0	55	11	0
Precinct 7314	6	2	2	2	4	1	3	0	1	4	3	2	3	3	759	13	0	0	107	36	0
Precinct 7315 - Vote By Mail	3	3	2	3	2	3	2	0	1	5	2	2	2	2	570	13	0	0	111	32	0
Precinct 7315 - Election Day	1	2	0	1	2	1	0	1	1	2	1	1	2	1	195	6	0	0	50	16	0
Precinct 7315	4	5	2	4	4	4	2	1	2	7	3	3	4	3	765	19	0	0	161	48	0
Precinct 7316 - Vote By Mail	9	2	4	2	5	4	6	3	2	7	6	6	6	7	654	13	0	0	74	69	0
Precinct 7316 - Election Day	2	0	1	0	3	0	2	1	1	1	2	1	1	2	178	6	0	0	49	17	0
Precinct 7316	11	2	5	2	8	4	8	4	3	8	8	7	7	9	832	19	0	0	123	86	0
Precinct 7317 - Vote By Mail	22	15	13	11	14	12	16	14	8	20	15	14	15	16	744	41	0	0	246	205	0
Precinct 7317 - Election Day	1	1	1	0	2	0	1	1	1	1	1	1	1	1	146	3	0	0	20	13	0
Precinct 7317	23	16	14	11	16	12	17	15	9	21	16	15	16	17	890	44	0	0	266	218	0
Precinct 7318 - Vote By Mail	9	5	6	6	9	4	6	4	2	11	6	6	10	9	605	20	0	0	127	93	0
Precinct 7318 - Election Day	0	0	0	0	1	0	0	1	0	1	0	0	1	0	118	2	0	0	18	4	0
Precinct 7318	9	5	6	6	10	4	6	5	2	12	6	6	11	9	723	22	0	0	145	97	0
Precinct 7319 - Vote By Mail	12	9	7	7	10	8	6	8	6	15	8	11	15	8	861	30	0	0	200	130	0
Precinct 7319 - Election Day	4	3	3	2	3	2	3	3	1	3	3	3	6	3	188	11	0	0	79	42	0
Precinct 7319	16	12	10	9	13	10	9	11	7	18	11	14	21	11	1,049	41	0	0	279	172	0
Precinct 7321 - Vote By Mail	6	3	2	0	2	1	1	1	2	1	2	3	0	1	557	13	0	0	118	25	0
Precinct 7321 - Election Day	0	0	0	0	2	0	0	0	0	0	0	0	0	0	102	2	0	0	20	2	0
Precinct 7321	6	3	2	0	4	1	1	1	2	1	2	3	0	1	659	15	0	0	138	27	0
Precinct 7322 - Vote By Mail	5	4	5	3	3	4	5	3	3	0	5	1	1	5	742	14	0	0	107	47	0
Precinct 7322 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	146	2	0	0	21	1	0
Precinct 7322	5	4	5	3	3	5	5	3	3	0	5	1	1	5	888	16	0	0	128	48	0
Precinct 7323 - Vote By Mail	8	4	5	3	8	4	5	6	4	7	4	6	8	5	790	19	0	0	132	77	0
Precinct 7323 - Election Day	3	1	1	1	2	1	0	3	1	2	0	2	2	0	166	7	0	0	58	19	0
Precinct 7323	11	5	6	4	10	5	5	9	5	9	4	8	10	5	956	26	0	0	190	96	0
Precinct 7324 - Vote By Mail	5	3	4	3	5	3	3	4	2	7	2	2	5	2	587	15	0	0	115	50	0
Precinct 7324 - Election Day	2	2	1	2	2	2	1	1	2	1	1	2	1	1	150	5	0	0	33	22	1
Precinct 7324	7	5	5	5	7	5	4	5	4	8	3	4	6	3	737	20	0	0	148	72	1
Precinct 7325 - Vote By Mail	9	2	6	4	6	5	7	4	5	6	6	2	5	7	714	19	0	0	135	74	0
Precinct 7325 - Election Day	3	1	2	2	2	2	2	1	1	2	2	3	3	1	172	6	0	0	39	27	0
Precinct 7325	12	3	8	6	8	7	9	5	6	8	8	5	8	8	886	25	0	0	174	101	0
Precinct 7326 - Vote By Mail	8	4	6	5	13	4	5	5	5	8	6	3	7	5	685	27	0	0	213	84	0
Precinct 7326 - Election Day	1	2	2	0	1	0	1	0	2	1	2	1	1	2	174	7	0	0	60	17	1
Precinct 7326	9	6	8	5	14	4	6	5	7	9	8	4	8	7	859	34	0	0	273	101	1
Precinct 7327 - Vote By Mail	5	0	1	1	2	1	3	0	0	2	1	0	2	1	561	13	0	0	124	19	0
Precinct 7327 - Election Day	1	1	1	1	0	0	1	0	0	0	1	0	0	1	126	1	0	0	4	7	0
Precinct 7327	6	1	2	2	2	1	4	0	0	2	2	0	2	2	687	14	0	0	128	26	0
Precinct 7328 - Vote By Mail	5	9	5	6	12	8	5	9	6	8	4	8	7	5	829	26	0	0	189	97	0
Precinct 7328 - Election Day	1	1	2	1	3	1	2	1	1	0	1	2	2	2	173	6	0	0	46	20	0
Precinct 7328	6	10	7	7	15	9	7	10	7	8	5	10	9	7	1,002	32	0	0	235	117	0
Precinct 7329 - Vote By Mail	10	7	8	8	12	6	10	6	3	13	6	10	13	7	556	29	0	0	200	119	0
Precinct 7329 - Election Day	5	5	5	6	1	6	5	0	2	4	5	4	5	4	95	6	0	0	9	57	0
Precinct 7329	15	12	13	14	13	12	15	6	5	17	11	14	18	11	651	35	0	0	209	176	0
Precinct 7331 - Vote By Mail	24	17	17	13	15	16	13	13	15	21	13	17	24	15	710	50	0	0	317	233	0
Precinct 7331 - Election Day	11	8	10	7	4	8	11	0	1	10	11	8	10	10	160	18	0	0	89	109	0
Precinct 7331	35	25	27	20	19	24	24	13	16	31	24	25	34	25	870	68	0	0	406	342	0
Precinct 7332 - Vote By Mail	5	2	4	4	3	3	4	6	4	5	3	3	1	4	654	14	0	0	103	51	0
Precinct 7332 - Election Day	1	3	1	1	2	1	1	2	1	2	1	2	2	1	136	7	0	0	56	21	0
Precinct 7332	6	5	5	5	5	4	5	8	5	7	4	5	3	5	790	21	0	0	159	72	0
Precinct 7333 - Vote By Mail	10	6	8	7	11	4	8	6	5	9	5	6	11	8	822	26	0	1	171	104	0
Precinct 7333 - Election Day	3	2	3	1	4	1	3	1	3	2	3	3	2	1	193	9	0	0	67	32	0
Precinct 7333	13	8	11	8	15	5	11	7	8	11	8	9	13	9	1,015	35	0	1	238	136	0
Precinct 7334 - Vote By Mail	3	4	2	3	5	3	2	1	1	9	2	3	5	1	688	16	0	0	132	44	0
Precinct 7334 - Election Day	1	2	2	2	3	2	2	0	2	3	2	1	3	0	131	5	0	0	30	25	0
Precinct 7334	4	6	4	5	8	5	4	1	3	12	4	4	8	1	819	21	0	0	162	69	0
Precinct 7335 - Vote By Mail	20	16	18	12	13	17	16	9	10	24	15	18	22	16	788	48	0	0	302	226	0
Precinct 7335 - Election Day	3	6	3	4	6	4	2	4	6	4	2	2	2	1	146	9	0	0	50	49	0
Precinct 7335	23	22	21	16	19	21	18	13	16	28	17	20	24	17	934	57	0	0	352	275	0
Precinct 7336 - Vote By Mail	26	15	21	18	11	18	20	12	10	22	24	20	27	21	779	63	0	0	428	265	0
Precinct 7336 - Election Day	2	0	1	0	1	0	0	0	0	3	0	0	0	1	175	6	0	0	58	8	0
Precinct 7336	28	15	22	18	12	18	20	12	10	25	24	20	27	22	954	69	0	0	486	273	0
Precinct 7337 - Vote By Mail	10	6	10	4	9	7	9	2	5	11	10	10	15	11	772	41	0	0	332	119	0
Precinct 7337 - Election Day	6	2	6	4	3	3	5	3	2	4	4	2	3	4	125	8	0	0	37	51	0
Precinct 7337	16	8	16	8	12	10	14	5	7	15	14	12	18	15	897	49	0	0	369	170	0
Precinct 7338 - Vote By Mail	7	1	5	2	3	1	5	2	1	6	5	3	2	5	770	16	0	0	128	48	0
Precinct 7338 - Election Day	3	1	1	2	1	2	1	1	1	2	1	1	3	1	125	6	0	0	45	21	0
Precinct 7338	10	2	6	4	4	3	6	3	2	8	6	4	5	6	895	22	0	0	173	69	0
Precinct 7339 - Vote By Mail	3	4	3	1	6	2	2	2	4	7	3	3	5	3	605	9	0	0	51	48	0
Precinct 7339 - Election Day	6	4	4	1	0	3	5	0	2	3	3	3	4	4	150	7	0	0	35	42	0
Precinct 7339	9	8	7	2	6	5	7	2	6	10	6	6	9	7	755	16	0	0	86	90	0
Precinct 7341 - Vote By Mail	0	2	0	2	4	2	1	3	1	2	1	1	2	0	675	11	0	0	100	21	0
Precinct 7341 - Election Day	1	0	0	0	0	0	0	0	0	1	0	0	0	0	178	1	0	0	9	2	0
Precinct 7341	1	2	0	2	4	2	1	3	1	3	1	1	2	0	853	12	0	0	109	23	0
Precinct 7342 - Vote By Mail	8	2	6	1	7	3	6	3	4	6	8	4	6	7	674	21	0	0	160	71	0
Precinct 7342 - Election Day	6	4	4	4	2	4	4	4	2	5	5	4	4	4	230	12	0	0	76	56	0
Precinct 7342	14	6	10	5	9	7	10	7	6	11	13	8	10	11	904	33	0	0	236	127	0
Precinct 7343 - Vote By Mail	1	3	1	2	5	3	1	1	3	6	2	3	3	1	554	9	0	0	64	35	0
Precinct 7343 - Election Day	1	0	0	0	0	0	0	1	0	0	0	1	0	0	150	3	0	0	30	3	0
Precinct 7343	2	3	1	2	5	3	1	2	3	6	2	4	3	1	704	12	0	0	94	38	0
Precinct 7344 - Vote By Mail	6	7	3	4	9	6	5	8	3	14	5	5	9	3	863	24	0	0	177	87	0
Precinct 7344 - Election Day	3	1	1	1	1	3	1	1	3	1	0	1	0	2	201	12	0	0	113	19	0
Precinct 7344	9	8	4	5	10	9	6	9	6	15	5	6	9	5	1,064	36	0	0	290	106	0
Precinct 7345 - Vote By Mail	5	4	5	5	6	5	5	2	5	7	5	5	9	4	904	17	0	0	115	72	0
Precinct 7345 - Election Day	1	2	1	2	4	3	0	2	3	5	1	4	3	0	210	6	0	0	35	31	0
Precinct 7345	6	6	6	7	10	8	5	4	8	12	6	9	12	4	1,114	23	0	0	150	103	0
Precinct 7346 - Vote By Mail	4	4	1	2	3	1	2	3	1	6	2	3	3	2	681	14	0	1	106	37	0
Precinct 7346 - Election Day	6	4	3	4	3	2	3	3	3	5	3	5	4	3	208	10	0	0	59	51	0
Precinct 7346	10	8	4	6	6	3	5	6	4	11	5	8	7	5	889	24	0	1	165	88	0
Precinct 7347 - Vote By Mail	2	3	3	5	3	3	4	1	3	3	0	2	3	0	833	11	0	0	86	35	0
Precinct 7347 - Election Day	2	1	2	2	1	1	2	0	1	2	1	0	1	2	170	5	0	0	37	18	0
Precinct 7347	4	4	5	7	4	4	6	1	4	5	1	2	4	2	1,003	16	0	0	123	53	0
Precinct 7348 - Vote By Mail	8	6	5	5	4	7	7	1	5	7	3	6	7	4	650	14	0	0	79	75	0
Precinct 7348 - Election Day	1	1	0	1	2	1	1	1	1	1	0	1	1	0	193	3	0	0	21	12	0
Precinct 7348	9	7	5	6	6	8	8	2	6	8	3	7	8	4	843	17	0	0	100	87	0
Precinct 7349 - Vote By Mail	9	9	7	4	9	5	5	7	3	11	7	8	10	7	710	25	0	0	174	101	0
Precinct 7349 - Election Day	2	3	2	2	1	2	1	1	0	2	2	1	2	2	202	4	0	0	21	23	0
Precinct 7349	11	12	9	6	10	7	6	8	3	13	9	9	12	9	912	29	0	0	195	124	0
Precinct 7501 - Vote By Mail	7	6	3	6	10	4	3	6	3	11	5	6	7	6	456	18	0	0	115	83	0
Precinct 7501 - Election Day	3	2	2	1	0	1	2	0	1	3	2	2	1	3	95	7	0	0	54	23	0
Precinct 7501	10	8	5	7	10	5	5	6	4	14	7	8	8	9	551	25	0	0	169	106	0
Precinct 7502 - Vote By Mail	12	6	9	6	7	6	9	7	5	11	9	7	10	9	668	23	0	1	129	113	0
Precinct 7502 - Election Day	2	2	2	2	0	2	1	2	3	2	1	2	3	2	121	4	0	1	6	27	1
Precinct 7502	14	8	11	8	7	8	10	9	8	13	10	9	13	11	789	27	0	2	135	140	1
Precinct 7503 - Vote By Mail	9	4	7	4	5	6	6	6	3	8	3	3	7	6	614	19	0	0	132	77	0
Precinct 7503 - Election Day	1	0	0	0	3	0	0	1	0	3	0	1	0	0	148	6	0	0	57	9	0
Precinct 7503	10	4	7	4	8	6	6	7	3	11	3	4	7	6	762	25	0	0	189	86	0
Precinct 7504 - Vote By Mail	1	3	1	2	1	1	2	3	3	3	2	3	4	2	404	8	0	0	57	31	0
Precinct 7504 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	84	2	0	1	10	1	0
Precinct 7504	1	3	1	3	1	1	2	3	3	3	2	3	4	2	488	10	0	1	67	32	0
Precinct 7505 - Vote By Mail	20	12	19	10	11	12	18	9	8	18	18	14	17	17	729	41	0	0	248	203	0
Precinct 7505 - Election Day	1	1	1	0	1	1	2	0	1	1	1	1	0	1	133	3	0	1	10	12	0
Precinct 7505	21	13	20	10	12	13	20	9	9	19	19	15	17	18	862	44	0	1	258	215	0
Precinct 7506 - Vote By Mail	7	4	3	5	3	1	4	3	3	7	3	2	8	3	842	23	0	0	197	56	0
Precinct 7506 - Election Day	0	1	0	1	0	0	0	0	0	0	0	1	0	0	158	1	0	0	8	3	0
Precinct 7506	7	5	3	6	3	1	4	3	3	7	3	3	8	3	1,000	24	0	0	205	59	0
Precinct 7507 - Vote By Mail	3	2	3	2	3	3	3	2	1	2	3	2	3	3	694	9	0	0	64	35	0
Precinct 7507 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	1	0	0	11	0	0
Precinct 7507	3	2	3	2	3	3	3	2	1	2	3	2	3	3	956	10	0	0	75	35	0
Precinct 7508 - Vote By Mail	9	4	7	4	8	8	8	4	10	11	6	4	10	8	618	22	0	0	141	101	0
Precinct 7508 - Election Day	2	1	2	1	1	1	2	0	1	2	1	0	3	2	126	3	0	0	14	19	0
Precinct 7508	11	5	9	5	9	9	10	4	11	13	7	4	13	10	744	25	0	0	155	120	0
Precinct 7509/7511 - Vote By Mail	10	8	6	7	4	8	8	3	6	7	8	7	8	8	756	16	0	0	78	98	0
Precinct 7509/7511 - Election Day	4	3	3	2	5	4	5	2	4	5	3	3	2	4	173	9	0	0	50	49	0
Precinct 7509/7511	14	11	9	9	9	12	13	5	10	12	11	10	10	12	929	25	0	0	128	147	0
Precinct 7512 - Vote By Mail	19	18	14	16	8	16	19	9	7	20	15	18	23	16	475	36	0	0	178	218	0
Precinct 7512 - Election Day	5	4	5	4	4	4	3	1	2	6	3	4	5	3	125	8	0	0	35	53	0
Precinct 7512	24	22	19	20	12	20	22	10	9	26	18	22	28	19	600	44	0	0	213	271	0
Precinct 7513 - Vote By Mail	7	8	7	10	7	8	7	6	2	10	5	6	9	6	575	13	0	0	45	98	0
Precinct 7513 - Election Day	1	2	2	0	1	1	1	1	0	1	1	1	0	2	231	4	0	0	30	14	0
Precinct 7513	8	10	9	10	8	9	8	7	2	11	6	7	9	8	806	17	0	0	75	112	0
Precinct 7514 - Vote By Mail	5	3	3	4	5	3	4	4	3	7	3	4	3	4	709	13	0	0	88	55	0
Precinct 7514 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	1	0	0	11	0	0
Precinct 7514	5	3	3	4	5	3	4	4	3	7	3	4	3	4	916	14	0	0	99	55	0
Precinct 7515 - Vote By Mail	3	6	3	5	6	3	3	2	2	5	3	3	2	4	663	16	0	1	115	50	0
Precinct 7515 - Election Day	0	1	0	0	2	1	0	1	1	2	0	1	1	0	201	2	0	0	12	10	0
Precinct 7515	3	7	3	5	8	4	3	3	3	7	3	4	3	4	864	18	0	1	127	60	0
Precinct 7516 - Vote By Mail	12	6	13	7	12	9	12	4	5	15	11	7	9	11	773	28	0	0	175	133	0
Precinct 7516 - Election Day	3	1	2	0	3	1	2	2	1	2	1	1	3	2	147	4	0	0	20	24	0
Precinct 7516	15	7	15	7	15	10	14	6	6	17	12	8	12	13	920	32	0	0	195	157	0
Precinct 7517 - Vote By Mail	3	4	2	3	3	4	2	1	3	6	2	3	4	2	645	8	0	0	46	42	0
Precinct 7517 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0
Precinct 7517	3	4	2	3	3	4	2	1	3	6	2	3	4	2	868	8	0	0	46	42	0
Precinct 7518 - Vote By Mail	3	3	1	3	6	3	1	4	5	5	2	4	4	3	708	10	0	0	63	47	0
Precinct 7518 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	218	2	0	0	21	1	0
Precinct 7518	3	3	1	4	6	3	1	4	5	5	2	4	4	3	926	12	0	0	84	48	0
Precinct 7519 - Vote By Mail	2	2	1	2	0	1	1	1	1	3	1	1	2	1	543	6	0	0	47	19	0
Precinct 7519 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7519	2	2	1	2	0	1	1	1	1	3	1	1	2	1	715	6	0	0	47	19	0
Precinct 7521 - Vote By Mail	2	1	2	2	2	1	2	1	2	3	2	3	1	3	597	7	0	0	50	27	0
Precinct 7521 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0
Precinct 7521	2	1	2	2	2	1	2	1	2	3	2	3	1	3	779	7	0	0	50	27	0
Precinct 7522 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	3	0	0	33	0	0
Precinct 7522 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	171	2	0	0	21	1	0
Precinct 7522	0	0	0	0	0	0	0	0	0	1	0	0	0	0	759	5	0	0	54	1	0
Precinct 7523 - Vote By Mail	2	3	3	0	0	2	4	0	2	1	4	0	1	3	564	8	0	0	63	25	0
Precinct 7523 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0
Precinct 7523	2	3	3	0	0	2	4	0	2	1	4	0	1	3	744	8	0	0	63	25	0
Precinct 7524 - Vote By Mail	0	0	0	0	0	1	1	0	0	0	0	0	0	0	480	2	0	0	20	2	0
Precinct 7524 - Election Day	1	1	1	0	0	1	0	0	0	1	1	1	0	1	144	2	0	0	14	8	0
Precinct 7524	1	1	1	0	0	2	1	0	0	1	1	1	0	1	624	4	0	0	34	10	0
Precinct 7525 - Vote By Mail	1	1	1	0	1	1	1	1	2	1	1	1	1	1	594	5	0	0	41	14	0
Precinct 7525 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	170	2	0	0	20	2	1
Precinct 7525	1	1	1	0	1	1	1	1	2	2	1	1	1	1	764	7	0	0	61	16	1
Precinct 7526 - Vote By Mail	1	2	1	1	1	2	1	2	2	2	2	1	0	0	826	7	0	0	59	18	0
Precinct 7526 - Election Day	0	1	0	0	1	0	1	0	0	2	0	1	2	0	162	3	0	0	25	8	0
Precinct 7526	1	3	1	1	2	2	2	2	2	4	2	2	2	0	988	10	0	0	84	26	0
Precinct 7527/7528 - Vote By Mail	3	3	3	0	3	3	2	0	1	3	3	2	3	3	538	10	0	0	78	32	0
Precinct 7527/7528 - Election Day	5	5	4	5	2	4	4	2	1	5	4	6	5	4	172	9	0	0	43	56	0
Precinct 7527/7528	8	8	7	5	5	7	6	2	2	8	7	8	8	7	710	19	0	0	121	88	0
Precinct 7529 - Vote By Mail	3	1	2	1	2	1	2	1	1	2	2	1	1	2	749	4	0	0	22	22	0
Precinct 7529 - Election Day	2	1	1	2	1	2	2	2	2	3	0	1	1	1	154	4	0	0	23	21	0
Precinct 7529	5	2	3	3	3	3	4	3	3	5	2	2	2	3	903	8	0	0	45	43	0
Precinct 7531 - Vote By Mail	1	0	1	0	0	0	2	0	0	0	1	0	2	1	714	6	0	0	58	8	0
Precinct 7531 - Election Day	0	0	0	0	1	0	0	1	1	1	0	0	0	0	159	1	0	0	7	4	0
Precinct 7531	1	0	1	0	1	0	2	1	1	1	1	0	2	1	873	7	0	0	65	12	0
Precinct 7532 - Vote By Mail	3	3	0	2	2	1	1	1	2	2	0	1	2	1	668	7	0	0	56	21	0
Precinct 7532 - Election Day	2	3	2	2	2	0	0	2	2	4	2	2	2	0	167	7	0	0	52	25	0
Precinct 7532	5	6	2	4	4	1	1	3	4	6	2	3	4	1	835	14	0	0	108	46	0
Precinct 7533 - Vote By Mail	2	3	4	1	4	4	4	2	2	5	2	3	6	4	776	7	0	0	31	46	0
Precinct 7533 - Election Day	4	3	3	2	1	2	3	3	2	3	2	2	2	3	194	6	0	0	31	35	0
Precinct 7533	6	6	7	3	5	6	7	5	4	8	4	5	8	7	970	13	0	0	62	81	0
Precinct 7534 - Vote By Mail	4	3	3	3	5	3	3	4	2	6	3	2	5	3	670	10	0	0	61	49	0
Precinct 7534 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	2	0	0	22	0	0
Precinct 7534	4	3	3	3	5	3	3	4	2	6	3	2	5	3	903	12	0	0	83	49	0
Precinct 7535 - Vote By Mail	2	2	2	1	0	2	3	0	0	2	2	2	2	2	606	5	0	0	33	22	0
Precinct 7535 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7535	2	2	2	1	0	2	3	0	0	2	2	2	2	2	745	5	0	0	33	22	0
Precinct 7536 - Vote By Mail	2	2	0	2	1	0	0	1	1	1	0	1	0	0	670	4	0	0	33	11	0
Precinct 7536 - Election Day	1	2	1	1	1	1	2	0	0	1	2	1	1	1	163	3	0	0	17	16	1
Precinct 7536	3	4	1	3	2	1	2	1	1	2	2	2	1	1	833	7	0	0	50	27	1
Precinct 7537 - Vote By Mail	3	3	1	1	1	3	3	1	1	2	1	4	3	1	619	7	0	0	49	28	0
Precinct 7537 - Election Day	1	1	1	1	1	0	1	1	1	0	1	0	1	1	126	1	0	0	0	11	0
Precinct 7537	4	4	2	2	2	3	4	2	2	2	2	4	4	2	745	8	0	0	49	39	0
Precinct 7538 - Vote By Mail	2	3	2	3	4	4	3	3	4	5	2	3	5	2	562	9	0	0	54	45	0
Precinct 7538 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0
Precinct 7538	2	3	2	3	4	4	3	3	4	5	2	3	5	2	751	9	0	0	54	45	0
Precinct 7539 - Vote By Mail	1	0	0	0	0	0	0	1	0	1	0	1	0	1	696	3	0	0	28	5	0
Precinct 7539 - Election Day	1	2	1	1	2	2	1	1	1	1	1	1	1	0	225	2	0	0	6	16	0
Precinct 7539	2	2	1	1	2	2	1	2	1	2	1	2	1	1	921	5	0	0	34	21	0
Precinct 7541 - Vote By Mail	1	2	0	0	1	0	0	0	2	1	0	0	0	0	600	5	0	0	48	7	0
Precinct 7541 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	1	0	0	10	1	1
Precinct 7541	1	2	0	0	1	0	0	0	2	1	0	0	0	0	770	6	0	0	58	8	1
Precinct 7542 - Vote By Mail	1	0	0	0	0	0	0	0	0	0	0	0	0	0	632	5	0	0	54	1	0
Precinct 7542 - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	192	1	0	0	10	1	0
Precinct 7542	1	0	0	0	0	0	0	0	1	0	0	0	0	0	824	6	0	0	64	2	0
Precinct 7543 - Vote By Mail	3	1	2	0	4	0	1	1	1	2	1	2	3	2	694	11	0	0	98	23	0
Precinct 7543 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7543	3	1	2	0	4	0	1	1	1	2	1	2	3	2	924	11	0	0	98	23	0
Precinct 7544 - Vote By Mail	0	1	0	0	0	0	0	0	0	2	0	0	0	0	731	2	0	0	19	3	0
Precinct 7544 - Election Day	3	2	3	1	0	2	3	0	1	2	3	2	3	3	168	4	0	0	16	28	0
Precinct 7544	3	3	3	1	0	2	3	0	1	4	3	2	3	3	899	6	0	0	35	31	0
Precinct 7545 - Vote By Mail	9	5	4	2	8	5	5	5	5	9	3	4	5	4	723	15	0	0	92	73	0
Precinct 7545 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	172	1	0	0	10	1	0
Precinct 7545	9	5	4	2	8	5	5	5	5	10	3	4	5	4	895	16	0	0	102	74	0
Precinct 7546 - Vote By Mail	1	3	1	1	3	1	1	0	1	4	1	2	1	1	770	6	0	0	45	21	0
Precinct 7546 - Election Day	1	1	1	0	1	1	1	1	1	1	1	2	1	1	183	5	0	0	41	14	0
Precinct 7546	2	4	2	1	4	2	2	1	2	5	2	4	2	2	953	11	0	0	86	35	0
Precinct 7547 - Vote By Mail	3	2	0	2	0	2	2	2	0	0	2	2	3	2	798	7	0	0	55	22	0
Precinct 7547 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0
Precinct 7547	3	2	0	2	0	2	2	2	0	0	2	2	3	2	981	7	0	0	55	22	0
Precinct 7548 - Vote By Mail	2	1	2	0	2	0	2	2	3	3	2	0	3	2	802	7	0	0	53	24	0
Precinct 7548 - Election Day	1	0	0	0	0	0	0	0	1	0	0	0	1	0	249	5	0	0	52	3	0
Precinct 7548	3	1	2	0	2	0	2	2	4	3	2	0	4	2	1,051	12	0	0	105	27	0
Precinct 7549 - Vote By Mail	4	4	4	3	4	4	4	1	2	5	3	4	4	3	660	9	0	0	50	49	0
Precinct 7549 - Election Day	1	3	1	0	3	0	1	2	1	2	1	2	2	2	146	4	0	0	23	21	0
Precinct 7549	5	7	5	3	7	4	5	3	3	7	4	6	6	5	806	13	0	0	73	70	0
Precinct 7551 - Vote By Mail	3	2	2	1	4	1	2	2	3	2	2	1	1	3	587	6	0	0	37	29	0
Precinct 7551 - Election Day	0	0	0	0	2	0	1	0	0	2	0	1	2	1	136	3	0	0	24	9	0
Precinct 7551	3	2	2	1	6	1	3	2	3	4	2	2	3	4	723	9	0	0	61	38	0
Precinct 7552 - Vote By Mail	3	5	2	4	5	3	3	4	4	5	1	4	4	3	561	9	0	0	49	50	0
Precinct 7552 - Election Day	2	2	2	0	2	0	2	1	1	2	0	2	2	2	124	3	0	0	13	20	0
Precinct 7552	5	7	4	4	7	3	5	5	5	7	1	6	6	5	685	12	0	0	62	70	0
Precinct 7553 MB - Vote By Mail	4	3	4	4	3	2	1	4	4	4	3	2	5	4	211	8	0	0	41	47	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	0	0	0	0	0	0
