Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9132 - Vote By Mail	23	21	58	15	59	32	59	47	57	65	32	26	75	21	46	23	45	54	47	65	18	397	187	0	3	952	888	0
Precinct 9132 - Election Day	26	17	43	17	44	25	42	27	50	45	23	19	51	13	47	16	19	47	47	58	13	124	159	0	0	901	689	0
Precinct 9132	49	38	101	32	103	57	101	74	107	110	55	45	126	34	93	39	64	101	94	123	31	521	346	0	3	1,853	1,577	0
Precinct 9133 - Vote By Mail	36	35	97	33	94	51	87	77	89	89	46	48	112	37	67	62	65	88	79	104	28	493	274	0	1	1,306	1,424	0
Precinct 9133 - Election Day	31	19	47	18	46	23	49	43	45	60	21	34	70	16	46	22	31	52	45	52	17	137	176	0	0	973	787	0
Precinct 9133	67	54	144	51	140	74	136	120	134	149	67	82	182	53	113	84	96	140	124	156	45	630	450	0	1	2,279	2,211	0
Precinct 9134 - Vote By Mail	35	23	63	20	67	27	64	51	53	76	35	30	74	16	63	40	38	71	60	75	15	452	228	0	0	1,284	996	0
Precinct 9134 - Election Day	19	9	36	14	33	15	30	18	29	33	16	17	34	10	26	17	21	35	32	41	9	82	140	0	0	906	494	0
Precinct 9134	54	32	99	34	100	42	94	69	82	109	51	47	108	26	89	57	59	106	92	116	24	534	368	0	0	2,190	1,490	0
Precinct 9135 - Vote By Mail	33	18	56	22	48	32	52	55	53	53	35	29	67	20	46	44	43	62	51	62	12	346	197	0	1	1,067	893	0
Precinct 9135 - Election Day	18	20	29	16	28	11	26	25	26	29	16	11	35	8	24	15	17	32	28	32	9	104	116	0	0	705	455	0
Precinct 9135	51	38	85	38	76	43	78	80	79	82	51	40	102	28	70	59	60	94	79	94	21	450	313	0	1	1,772	1,348	0
Precinct 9136 - Vote By Mail	32	25	88	20	78	30	95	51	82	77	48	40	103	22	76	51	51	101	81	90	20	427	266	0	0	1,399	1,261	0
Precinct 9136 - Election Day	19	14	51	8	43	17	34	25	35	33	17	17	46	12	36	19	17	48	42	47	6	109	136	0	0	774	586	0
Precinct 9136	51	39	139	28	121	47	129	76	117	110	65	57	149	34	112	70	68	149	123	137	26	536	402	0	0	2,173	1,847	0
Precinct 9137 - Vote By Mail	48	37	96	22	90	51	96	75	82	86	56	59	114	31	73	65	66	88	75	95	26	440	269	0	0	1,259	1,431	0
Precinct 9137 - Election Day	22	15	41	14	40	14	48	24	31	35	20	15	47	6	39	22	29	39	29	45	8	115	137	0	0	787	583	0
Precinct 9137	70	52	137	36	130	65	144	99	113	121	76	74	161	37	112	87	95	127	104	140	34	555	406	0	0	2,046	2,014	0
Precinct 9138 - Vote By Mail	39	32	92	16	92	49	91	78	83	88	59	45	120	35	75	79	80	100	80	96	34	436	268	0	0	1,217	1,463	0
Precinct 9138 - Election Day	17	8	28	13	36	9	33	27	36	41	14	18	39	8	33	24	26	40	25	36	8	91	122	0	0	701	519	0
Precinct 9138	56	40	120	29	128	58	124	105	119	129	73	63	159	43	108	103	106	140	105	132	42	527	390	0	0	1,918	1,982	0
Precinct 9139 - Vote By Mail	48	25	89	21	81	47	85	71	87	91	49	60	112	30	83	66	68	86	79	85	29	461	274	0	1	1,338	1,392	0
Precinct 9139 - Election Day	27	19	33	13	39	16	36	39	32	39	24	19	40	13	24	20	32	35	28	36	18	116	143	0	0	848	582	0
Precinct 9139	75	44	122	34	120	63	121	110	119	130	73	79	152	43	107	86	100	121	107	121	47	577	417	0	1	2,186	1,974	0
Precinct 9141 - Vote By Mail	43	36	86	23	96	61	74	73	83	96	61	58	107	33	73	80	85	90	69	88	43	454	285	0	0	1,392	1,458	0
Precinct 9141 - Election Day	16	11	38	6	33	18	30	28	33	30	16	10	35	14	33	26	29	42	28	35	14	110	128	0	0	755	525	0
Precinct 9141	59	47	124	29	129	79	104	101	116	126	77	68	142	47	106	106	114	132	97	123	57	564	413	0	0	2,147	1,983	0
Precinct 9142 - Vote By Mail	47	27	91	21	88	52	90	60	83	103	51	54	108	35	68	57	67	89	82	95	28	431	256	0	2	1,144	1,396	0
Precinct 9142 - Election Day	25	16	51	14	49	27	48	30	50	50	25	19	57	13	53	28	35	55	43	59	15	134	187	0	1	1,098	762	0
Precinct 9142	72	43	142	35	137	79	138	90	133	153	76	73	165	48	121	85	102	144	125	154	43	565	443	0	3	2,242	2,158	0
Precinct 9143 - Vote By Mail	27	16	75	18	69	48	80	62	71	91	34	42	102	26	63	61	73	81	64	82	21	404	239	0	1	1,174	1,206	0
Precinct 9143 - Election Day	16	15	41	8	36	12	40	30	38	42	15	24	48	8	37	20	28	47	33	37	6	129	145	0	0	869	581	0
Precinct 9143	43	31	116	26	105	60	120	92	109	133	49	66	150	34	100	81	101	128	97	119	27	533	384	0	1	2,043	1,787	0
Precinct 9144 - Vote By Mail	50	39	73	19	74	49	82	69	71	78	49	50	88	35	63	61	65	86	78	80	24	439	256	0	0	1,277	1,283	0
Precinct 9144 - Election Day	29	26	55	19	58	22	45	43	47	49	35	25	64	14	46	36	35	55	43	61	15	125	170	0	0	878	822	0
Precinct 9144	79	65	128	38	132	71	127	112	118	127	84	75	152	49	109	97	100	141	121	141	39	564	426	0	0	2,155	2,105	0
Precinct 9145 - Vote By Mail	39	26	74	20	67	38	84	73	75	77	40	34	92	25	70	46	56	80	60	72	19	417	243	0	0	1,263	1,167	0
Precinct 9145 - Election Day	21	12	47	14	46	14	42	38	37	38	18	25	49	8	47	22	30	50	34	52	11	127	150	0	1	835	655	0
Precinct 9145	60	38	121	34	113	52	126	111	112	115	58	59	141	33	117	68	86	130	94	124	30	544	393	0	1	2,098	1,822	0
Precinct 9146 - Vote By Mail	43	33	99	18	90	39	97	59	89	98	52	55	106	29	95	48	59	98	90	100	35	479	264	0	1	1,198	1,432	0
Precinct 9146 - Election Day	21	16	51	9	49	13	47	30	50	44	19	22	54	9	39	16	29	40	43	50	8	95	169	0	0	1,031	659	0
Precinct 9146	64	49	150	27	139	52	144	89	139	142	71	77	160	38	134	64	88	138	133	150	43	574	433	0	1	2,229	2,091	0
Precinct 9147 - Vote By Mail	50	33	92	22	100	55	99	65	89	96	56	33	112	43	87	47	63	101	93	106	20	473	274	0	2	1,258	1,462	0
Precinct 9147 - Election Day	31	18	46	11	47	22	39	38	49	50	27	31	57	12	47	24	28	52	46	50	9	133	164	0	0	906	734	0
Precinct 9147	81	51	138	33	147	77	138	103	138	146	83	64	169	55	134	71	91	153	139	156	29	606	438	0	2	2,164	2,196	0
Precinct 9148 - Vote By Mail	56	44	94	23	98	46	98	79	88	102	62	53	103	33	83	51	64	88	80	94	32	529	305	0	2	1,559	1,471	0
Precinct 9148 - Election Day	29	24	55	17	47	25	47	49	48	48	22	26	48	13	35	27	33	50	49	48	15	149	184	0	0	1,085	755	0
Precinct 9148	85	68	149	40	145	71	145	128	136	150	84	79	151	46	118	78	97	138	129	142	47	678	489	0	2	2,644	2,226	0
Precinct 9149 - Vote By Mail	56	48	100	20	97	46	97	72	95	94	60	56	115	33	102	57	70	106	94	109	40	515	293	0	0	1,363	1,567	0
Precinct 9149 - Election Day	27	22	72	21	53	26	56	49	56	52	31	25	73	12	59	30	46	59	54	62	18	118	236	0	0	1,457	903	0
Precinct 9149	83	70	172	41	150	72	153	121	151	146	91	81	188	45	161	87	116	165	148	171	58	633	529	0	0	2,820	2,470	0
Precinct 9151 - Vote By Mail	32	29	72	27	51	41	71	84	65	68	39	53	87	27	58	56	61	81	57	76	24	430	262	0	1	1,451	1,159	0
Precinct 9151 - Election Day	27	18	49	22	30	14	35	45	42	34	18	39	41	8	30	31	34	30	35	49	15	101	175	0	0	1,104	646	0
Precinct 9151	59	47	121	49	81	55	106	129	107	102	57	92	128	35	88	87	95	111	92	125	39	531	437	0	1	2,555	1,805	0
Precinct 9152 - Vote By Mail	27	17	42	10	46	17	46	33	36	39	25	24	41	17	38	20	41	38	39	45	19	342	149	0	0	830	660	0
Precinct 9152 - Election Day	50	40	71	42	59	40	35	53	69	57	42	44	53	25	70	35	30	62	68	100	32	117	301	0	1	1,923	1,077	0
Precinct 9152	77	57	113	52	105	57	81	86	105	96	67	68	94	42	108	55	71	100	107	145	51	459	450	0	1	2,753	1,737	0
Precinct 9201 - Vote By Mail	47	35	101	34	87	32	99	60	88	97	44	46	91	18	91	43	55	107	94	102	28	504	272	0	1	1,311	1,399	0
Precinct 9201 - Election Day	29	16	50	12	56	17	54	30	51	49	18	23	50	8	53	20	30	56	49	56	7	109	185	0	1	1,106	734	0
Precinct 9201	76	51	151	46	143	49	153	90	139	146	62	69	141	26	144	63	85	163	143	158	35	613	457	0	2	2,417	2,133	0
Precinct 9202 - Vote By Mail	43	32	59	26	56	38	75	76	51	66	50	46	64	25	60	50	50	70	61	70	27	474	266	0	1	1,555	1,095	0
Precinct 9202 - Election Day	30	8	20	8	20	14	22	31	23	26	18	15	25	8	21	21	26	38	22	29	10	107	163	0	0	1,195	435	0
Precinct 9202	73	40	79	34	76	52	97	107	74	92	68	61	89	33	81	71	76	108	83	99	37	581	429	0	1	2,750	1,530	0
Precinct 9203 - Vote By Mail	43	22	34	18	31	32	48	71	34	46	40	39	43	27	29	43	50	46	31	37	24	423	227	0	0	1,482	788	0
Precinct 9203 - Election Day	25	17	21	8	16	15	17	24	13	11	20	20	17	14	10	17	19	27	15	17	9	59	118	0	0	828	352	0
Precinct 9203	68	39	55	26	47	47	65	95	47	57	60	59	60	41	39	60	69	73	46	54	33	482	345	0	0	2,310	1,140	0
Precinct 9204 - Vote By Mail	55	27	30	15	23	28	37	63	19	30	35	28	32	21	24	39	47	46	27	32	17	340	180	0	1	1,115	675	0
Precinct 9204 - Election Day	35	12	27	10	20	13	25	48	18	21	15	24	24	15	11	23	25	29	14	26	9	99	139	0	0	946	444	0
Precinct 9204	90	39	57	25	43	41	62	111	37	51	50	52	56	36	35	62	72	75	41	58	26	439	319	0	1	2,061	1,119	0
Precinct 9205 - Vote By Mail	37	23	41	15	31	29	45	57	29	35	31	25	46	12	32	39	43	51	27	41	11	350	204	0	0	1,340	700	0
Precinct 9205 - Election Day	12	4	10	7	7	6	15	17	8	16	7	15	13	7	10	12	18	17	12	10	5	46	100	0	0	772	228	0
Precinct 9205	49	27	51	22	38	35	60	74	37	51	38	40	59	19	42	51	61	68	39	51	16	396	304	0	0	2,112	928	0
Precinct 9206 - Vote By Mail	57	31	26	27	23	32	32	64	27	16	40	30	35	22	27	44	42	46	31	39	19	336	195	0	0	1,240	710	0
Precinct 9206 - Election Day	21	12	21	10	8	12	15	33	13	18	13	19	18	9	16	19	20	18	15	14	13	95	129	0	0	953	337	0
Precinct 9206	78	43	47	37	31	44	47	97	40	34	53	49	53	31	43	63	62	64	46	53	32	431	324	0	0	2,193	1,047	0
Precinct 9207 - Vote By Mail	63	45	50	19	36	40	52	70	29	49	45	45	53	33	35	54	56	55	39	42	27	390	237	0	0	1,433	937	0
Precinct 9207 - Election Day	33	16	14	13	12	14	22	27	17	15	25	17	21	10	16	23	27	26	15	11	10	89	130	0	0	916	384	0
Precinct 9207	96	61	64	32	48	54	74	97	46	64	70	62	74	43	51	77	83	81	54	53	37	479	367	0	0	2,349	1,321	0
Precinct 9208 - Vote By Mail	53	38	51	20	32	38	44	71	40	43	44	44	45	30	33	52	48	60	38	49	27	413	248	0	0	1,580	900	0
Precinct 9208 - Election Day	25	10	20	10	19	9	26	38	18	17	21	20	22	11	14	20	25	29	22	21	10	86	127	0	1	853	407	0
Precinct 9208	78	48	71	30	51	47	70	109	58	60	65	64	67	41	47	72	73	89	60	70	37	499	375	0	1	2,433	1,307	0
Precinct 9209 - Vote By Mail	36	22	33	12	27	19	34	46	34	37	26	28	38	18	26	29	36	41	31	34	16	305	170	0	0	1,077	623	0
Precinct 9209 - Election Day	16	11	19	6	11	10	17	31	8	6	12	14	15	8	10	14	14	24	11	12	6	83	129	0	0	1,015	275	0
Precinct 9209	52	33	52	18	38	29	51	77	42	43	38	42	53	26	36	43	50	65	42	46	22	388	299	0	0	2,092	898	0
Precinct 9211 - Vote By Mail	43	27	35	13	27	31	40	57	24	41	42	30	34	22	32	30	40	48	29	32	20	403	214	0	0	1,443	697	0
Precinct 9211 - Election Day	20	14	15	6	18	11	16	25	12	12	17	10	14	9	10	17	19	26	10	16	4	91	122	0	0	919	301	0
Precinct 9211	63	41	50	19	45	42	56	82	36	53	59	40	48	31	42	47	59	74	39	48	24	494	336	0	0	2,362	998	0
Precinct 9212 - Vote By Mail	44	33	41	12	36	45	54	53	34	32	39	37	40	29	40	37	46	54	42	40	27	375	205	0	0	1,235	815	0
Precinct 9212 - Election Day	20	9	23	8	16	18	23	27	14	22	18	15	17	8	14	14	20	22	16	23	6	68	125	0	1	887	353	0
Precinct 9212	64	42	64	20	52	63	77	80	48	54	57	52	57	37	54	51	66	76	58	63	33	443	330	0	1	2,122	1,168	0
Precinct 9213 - Vote By Mail	42	28	64	18	52	33	64	74	51	70	43	51	75	25	61	48	50	66	58	69	35	433	237	0	0	1,293	1,077	0
Precinct 9213 - Election Day	30	14	22	12	22	24	26	39	14	22	23	24	22	15	24	20	26	25	20	24	13	97	152	0	0	1,059	461	0
Precinct 9213	72	42	86	30	74	57	90	113	65	92	66	75	97	40	85	68	76	91	78	93	48	530	389	0	0	2,352	1,538	0
Precinct 9214 - Vote By Mail	34	18	20	10	11	15	30	43	16	29	32	34	36	11	14	30	29	23	17	27	19	264	132	0	2	802	498	0
Precinct 9214 - Election Day	21	6	13	8	10	9	15	21	13	11	15	9	10	9	10	15	23	18	8	12	4	55	108	0	0	820	260	0
Precinct 9214	55	24	33	18	21	24	45	64	29	40	47	43	46	20	24	45	52	41	25	39	23	319	240	0	2	1,622	758	0
Precinct 9215 - Vote By Mail	40	25	29	9	21	33	40	53	28	34	30	25	33	24	26	41	47	37	24	25	20	275	162	0	0	976	644	0
Precinct 9215 - Election Day	21	12	9	3	7	11	12	23	7	6	10	11	11	5	7	17	20	15	7	2	9	61	96	0	0	735	225	0
Precinct 9215	61	37	38	12	28	44	52	76	35	40	40	36	44	29	33	58	67	52	31	27	29	336	258	0	0	1,711	869	0
Precinct 9216 - Vote By Mail	40	24	36	12	24	26	49	47	21	40	36	38	43	21	26	35	55	38	29	24	20	336	163	0	0	946	684	0
Precinct 9216 - Election Day	35	12	21	17	17	17	25	43	17	23	22	14	29	13	22	19	28	40	17	22	7	81	152	0	0	1,060	460	0
Precinct 9216	75	36	57	29	41	43	74	90	38	63	58	52	72	34	48	54	83	78	46	46	27	417	315	0	0	2,006	1,144	0
Precinct 9217 - Vote By Mail	47	24	34	17	24	29	36	46	24	32	37	37	33	20	29	37	36	43	28	33	20	310	190	0	2	1,214	666	0
Precinct 9217 - Election Day	21	9	17	12	9	11	19	25	11	12	19	13	20	7	16	17	19	22	14	22	6	56	106	0	0	739	321	0
Precinct 9217	68	33	51	29	33	40	55	71	35	44	56	50	53	27	45	54	55	65	42	55	26	366	296	0	2	1,953	987	0
Precinct 9218 - Vote By Mail	39	21	40	14	23	25	48	61	31	36	43	34	44	27	31	40	44	47	34	41	21	344	189	0	0	1,146	744	0
Precinct 9218 - Election Day	28	19	17	10	13	21	18	32	14	17	24	27	22	18	13	26	28	26	18	21	17	85	136	0	0	931	429	0
Precinct 9218	67	40	57	24	36	46	66	93	45	53	67	61	66	45	44	66	72	73	52	62	38	429	325	0	0	2,077	1,173	0
Precinct 9219 - Vote By Mail	33	27	33	20	33	22	46	57	28	39	32	25	35	27	25	33	42	46	31	32	25	382	213	0	0	1,439	691	0
Precinct 9219 - Election Day	24	18	19	10	15	15	23	24	13	17	13	13	23	10	17	13	27	24	15	21	11	79	139	0	0	1,025	365	0
Precinct 9219	57	45	52	30	48	37	69	81	41	56	45	38	58	37	42	46	69	70	46	53	36	461	352	0	0	2,464	1,056	0
Precinct 9221 - Vote By Mail	56	32	23	17	8	31	33	102	12	28	39	41	34	21	19	42	58	35	15	18	27	306	212	0	0	1,429	691	0
Precinct 9221 - Election Day	27	9	17	6	6	9	12	48	13	9	14	24	18	5	8	22	25	13	5	9	7	63	99	0	0	684	306	0
Precinct 9221	83	41	40	23	14	40	45	150	25	37	53	65	52	26	27	64	83	48	20	27	34	369	311	0	0	2,113	997	0
Precinct 9222 - Vote By Mail	60	36	44	21	35	30	57	78	35	42	53	44	44	29	31	50	68	54	36	41	24	402	237	0	0	1,458	912	0
Precinct 9222 - Election Day	33	21	25	11	21	17	29	38	16	22	17	25	22	13	13	19	30	26	15	23	11	81	160	0	1	1,143	447	0
Precinct 9222	93	57	69	32	56	47	86	116	51	64	70	69	66	42	44	69	98	80	51	64	35	483	397	0	1	2,601	1,359	0
Precinct 9223 - Vote By Mail	42	22	27	9	21	25	29	56	19	30	34	36	25	22	21	34	50	33	19	33	23	298	167	0	0	1,060	610	0
Precinct 9223 - Election Day	18	10	12	7	7	9	11	18	6	11	11	12	13	6	9	7	16	10	9	12	10	45	81	0	0	586	224	0
Precinct 9223	60	32	39	16	28	34	40	74	25	41	45	48	38	28	30	41	66	43	28	45	33	343	248	0	0	1,646	834	0
Precinct 9224 - Vote By Mail	55	44	55	19	42	37	64	77	40	44	53	47	48	24	44	58	64	67	44	54	25	400	249	0	0	1,485	1,005	0
Precinct 9224 - Election Day	27	16	13	9	14	14	21	27	9	12	20	18	22	11	11	21	29	26	20	21	11	96	153	0	0	1,158	372	0
Precinct 9224	82	60	68	28	56	51	85	104	49	56	73	65	70	35	55	79	93	93	64	75	36	496	402	0	0	2,643	1,377	0
Precinct 9225 - Vote By Mail	48	44	50	19	45	39	57	66	41	54	50	39	56	36	40	51	56	70	42	55	29	417	220	0	2	1,193	987	0
Precinct 9225 - Election Day	27	19	22	11	14	23	18	30	18	20	20	18	16	14	14	16	16	24	20	19	13	95	118	0	1	778	392	0
Precinct 9225	75	63	72	30	59	62	75	96	59	74	70	57	72	50	54	67	72	94	62	74	42	512	338	0	3	1,971	1,379	0
Precinct 9226 - Vote By Mail	49	38	52	27	38	42	62	74	32	60	58	55	50	27	48	49	73	49	45	55	32	415	238	0	0	1,365	1,015	0
Precinct 9226 - Election Day	32	13	21	14	18	20	21	37	23	17	28	26	15	11	16	16	29	22	12	16	12	78	149	0	0	1,071	419	0
Precinct 9226	81	51	73	41	56	62	83	111	55	77	86	81	65	38	64	65	102	71	57	71	44	493	387	0	0	2,436	1,434	0
Precinct 9227 - Vote By Mail	35	22	73	21	50	30	72	96	45	67	43	50	86	17	50	61	73	67	45	49	20	353	241	0	0	1,338	1,072	0
Precinct 9227 - Election Day	27	16	16	14	19	19	15	38	18	17	16	17	27	15	15	19	21	22	12	15	3	73	103	0	0	649	381	0
Precinct 9227	62	38	89	35	69	49	87	134	63	84	59	67	113	32	65	80	94	89	57	64	23	426	344	0	0	1,987	1,453	0
Precinct 9228 - Vote By Mail	40	23	49	16	36	27	52	85	35	39	31	36	49	12	34	47	57	51	33	41	17	336	206	0	1	1,240	810	0
Precinct 9228 - Election Day	16	8	21	10	14	18	24	45	13	21	14	16	26	6	11	29	20	24	17	20	7	100	139	0	0	1,010	380	0
Precinct 9228	56	31	70	26	50	45	76	130	48	60	45	52	75	18	45	76	77	75	50	61	24	436	345	0	1	2,250	1,190	0
Precinct 9229 - Vote By Mail	35	23	33	12	25	16	40	74	26	30	30	30	40	16	28	41	38	41	24	24	24	267	175	0	0	1,100	650	0
Precinct 9229 - Election Day	16	6	25	6	18	5	26	28	15	18	19	14	24	2	15	19	19	19	14	14	2	74	96	0	0	636	324	0
Precinct 9229	51	29	58	18	43	21	66	102	41	48	49	44	64	18	43	60	57	60	38	38	26	341	271	0	0	1,736	974	0
Precinct 9231 - Vote By Mail	35	27	64	20	39	35	66	83	43	60	41	48	78	26	47	47	59	57	42	55	29	448	258	0	1	1,569	1,001	0
Precinct 9231 - Election Day	28	18	37	17	40	18	36	73	33	34	24	36	47	10	30	34	37	46	34	29	17	144	208	0	0	1,402	678	0
Precinct 9231	63	45	101	37	79	53	102	156	76	94	65	84	125	36	77	81	96	103	76	84	46	592	466	0	1	2,971	1,679	0
Precinct 9232 - Vote By Mail	43	31	42	17	31	35	50	74	36	41	37	39	47	23	33	38	47	49	39	35	22	347	199	0	0	1,181	809	0
Precinct 9232 - Election Day	24	13	27	10	24	13	22	36	19	19	20	13	26	4	16	23	18	33	16	27	5	91	130	0	1	882	408	0
Precinct 9232	67	44	69	27	55	48	72	110	55	60	57	52	73	27	49	61	65	82	55	62	27	438	329	0	1	2,063	1,217	0
Precinct 9233 - Vote By Mail	36	24	31	14	26	21	42	92	26	39	31	39	42	22	28	52	55	34	25	34	25	339	204	0	1	1,292	738	0
Precinct 9233 - Election Day	32	20	25	9	22	22	23	41	16	23	16	18	28	13	26	25	19	27	19	23	11	104	142	0	0	962	458	0
Precinct 9233	68	44	56	23	48	43	65	133	42	62	47	57	70	35	54	77	74	61	44	57	36	443	346	0	1	2,254	1,196	0
Precinct 9234 - Vote By Mail	43	23	40	21	29	27	46	74	35	40	36	32	45	23	31	41	52	49	32	43	19	354	210	0	0	1,319	781	0
Precinct 9234 - Election Day	20	12	22	8	16	10	27	45	18	18	16	20	24	10	18	22	26	29	23	25	12	69	115	0	0	729	421	0
Precinct 9234	63	35	62	29	45	37	73	119	53	58	52	52	69	33	49	63	78	78	55	68	31	423	325	0	0	2,048	1,202	0
Precinct 9235 - Vote By Mail	41	22	40	19	28	28	34	93	27	25	32	29	39	19	32	35	38	46	26	26	21	375	238	0	1	1,670	700	0
Precinct 9235 - Election Day	19	11	16	14	10	11	21	40	12	20	15	14	21	6	16	17	30	32	15	18	7	82	127	0	0	905	365	0
Precinct 9235	60	33	56	33	38	39	55	133	39	45	47	43	60	25	48	52	68	78	41	44	28	457	365	0	1	2,575	1,065	0
Precinct 9236 - Vote By Mail	27	27	36	14	18	22	42	66	24	29	35	40	36	10	28	40	47	39	25	26	20	316	200	0	2	1,329	651	0
Precinct 9236 - Election Day	25	13	12	10	9	11	22	36	11	12	13	10	12	5	9	14	22	19	17	13	5	66	110	0	0	800	300	0
Precinct 9236	52	40	48	24	27	33	64	102	35	41	48	50	48	15	37	54	69	58	42	39	25	382	310	0	2	2,129	951	0
Precinct 9237 - Vote By Mail	47	39	54	13	32	32	51	78	35	53	50	48	49	26	37	53	47	61	45	47	27	454	275	0	1	1,816	924	0
Precinct 9237 - Election Day	21	21	19	11	15	16	31	38	13	25	17	18	20	9	22	19	32	22	20	14	12	80	143	0	0	1,015	415	0
Precinct 9237	68	60	73	24	47	48	82	116	48	78	67	66	69	35	59	72	79	83	65	61	39	534	418	0	1	2,831	1,339	0
Precinct 9238 - Vote By Mail	34	28	36	14	29	27	39	67	32	41	34	39	40	18	27	39	49	45	32	37	16	368	208	0	0	1,357	723	0
Precinct 9238 - Election Day	17	15	20	6	13	11	18	35	11	15	17	16	19	11	16	13	24	22	11	20	10	65	121	0	0	870	340	0
Precinct 9238	51	43	56	20	42	38	57	102	43	56	51	55	59	29	43	52	73	67	43	57	26	433	329	0	0	2,227	1,063	0
Precinct 9239 - Vote By Mail	50	33	56	13	27	39	67	90	44	54	53	56	55	28	52	48	65	64	41	46	34	408	252	0	0	1,505	1,015	0
Precinct 9239 - Election Day	26	11	21	3	8	17	21	32	12	12	22	20	19	7	17	27	21	22	13	20	9	73	124	0	0	880	360	0
Precinct 9239	76	44	77	16	35	56	88	122	56	66	75	76	74	35	69	75	86	86	54	66	43	481	376	0	0	2,385	1,375	0
Precinct 9241 - Vote By Mail	60	34	51	20	37	40	64	70	42	56	49	51	57	36	45	38	53	73	45	58	38	449	259	0	1	1,563	1,017	0
Precinct 9241 - Election Day	32	21	20	8	18	17	27	40	12	27	22	32	24	16	14	30	31	24	17	20	17	81	148	0	0	1,011	469	0
Precinct 9241	92	55	71	28	55	57	91	110	54	83	71	83	81	52	59	68	84	97	62	78	55	530	407	0	1	2,574	1,486	0
Precinct 9242 - Vote By Mail	45	38	63	14	44	32	72	70	43	67	50	56	59	24	46	56	70	81	44	64	31	440	247	0	0	1,401	1,069	0
Precinct 9242 - Election Day	31	14	40	8	20	17	37	42	23	32	17	26	36	8	29	32	35	39	30	37	14	101	163	0	0	1,063	567	0
Precinct 9242	76	52	103	22	64	49	109	112	66	99	67	82	95	32	75	88	105	120	74	101	45	541	410	0	0	2,464	1,636	0
Precinct 9243 - Vote By Mail	25	20	35	10	30	25	37	52	30	34	29	42	41	14	27	37	45	43	34	30	19	289	168	0	0	1,021	659	0
Precinct 9243 - Election Day	21	11	27	6	17	14	23	26	13	15	13	23	25	9	25	18	29	23	18	20	10	87	116	0	0	774	386	0
Precinct 9243	46	31	62	16	47	39	60	78	43	49	42	65	66	23	52	55	74	66	52	50	29	376	284	0	0	1,795	1,045	0
Precinct 9244 - Vote By Mail	60	38	64	24	49	44	68	80	49	68	57	59	64	32	54	60	68	77	47	55	44	459	289	0	0	1,729	1,161	0
Precinct 9244 - Election Day	32	25	25	16	23	20	23	36	18	20	18	23	23	16	28	27	32	31	22	26	12	86	149	0	0	994	496	0
Precinct 9244	92	63	89	40	72	64	91	116	67	88	75	82	87	48	82	87	100	108	69	81	56	545	438	0	0	2,723	1,657	0
Precinct 9245 - Vote By Mail	35	27	47	19	43	26	51	58	39	45	28	40	45	27	39	29	44	49	43	43	23	364	214	0	1	1,330	800	0
Precinct 9245 - Election Day	25	16	20	9	18	13	22	26	18	22	15	10	21	7	18	15	21	24	24	21	7	55	96	0	0	588	372	0
Precinct 9245	60	43	67	28	61	39	73	84	57	67	43	50	66	34	57	44	65	73	67	64	30	419	310	0	1	1,918	1,172	0
Precinct 9246 - Vote By Mail	60	35	74	17	61	40	77	93	48	62	63	65	70	38	60	66	77	82	52	66	34	474	307	0	4	1,790	1,240	0
Precinct 9246 - Election Day	34	19	18	15	17	24	21	38	18	21	21	22	13	13	12	25	33	19	15	17	13	93	140	0	0	972	428	0
Precinct 9246	94	54	92	32	78	64	98	131	66	83	84	87	83	51	72	91	110	101	67	83	47	567	447	0	4	2,762	1,668	0
Precinct 9247 - Vote By Mail	61	38	64	22	44	39	68	88	55	64	54	52	61	29	44	55	73	76	40	62	28	450	262	0	0	1,503	1,117	0
Precinct 9247 - Election Day	23	17	27	5	21	15	29	26	25	25	25	16	20	17	26	20	27	33	16	25	13	82	166	0	0	1,209	451	0
Precinct 9247	84	55	91	27	65	54	97	114	80	89	79	68	81	46	70	75	100	109	56	87	41	532	428	0	0	2,712	1,568	0
Precinct 9248 - Vote By Mail	41	32	59	17	49	32	67	78	52	63	52	49	65	24	49	37	60	69	62	65	28	452	258	0	0	1,530	1,050	0
Precinct 9248 - Election Day	26	12	30	15	27	18	35	37	28	28	24	23	27	10	28	18	28	38	28	27	9	88	154	0	0	1,024	516	0
Precinct 9248	67	44	89	32	76	50	102	115	80	91	76	72	92	34	77	55	88	107	90	92	37	540	412	0	0	2,554	1,566	0
Precinct 9249 - Vote By Mail	61	42	74	27	66	44	77	98	65	79	59	51	78	24	64	57	73	86	52	65	31	449	282	0	2	1,527	1,273	0
Precinct 9249 - Election Day	38	24	39	19	37	25	38	51	34	39	26	30	43	19	38	26	25	47	39	42	18	135	171	0	0	1,013	697	0
Precinct 9249	99	66	113	46	103	69	115	149	99	118	85	81	121	43	102	83	98	133	91	107	49	584	453	0	2	2,540	1,970	0
